symbol,pass_count,all_pass,close,sma50,sma150,sma200,52w_lo,52w_hi,rs_vs_spy_6mo_pp,note,c1,c2,c3,c4,c5,c6,c7,c8
AAPL,8,True,308.63,293.46,273.9,270.32,201.58,315.2,3.9,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
GOOGL,7,False,359.91,370.83,333.34,315.81,173.86,402.38,5.3,,PASS,PASS,PASS,PASS,fail,PASS,PASS,PASS
ANET,7,False,159.99,159.8,143.02,143.12,101.13,177.73,12.3,,PASS,fail,PASS,PASS,PASS,PASS,PASS,PASS
CRWD,7,False,193.98,155.16,125.09,125.64,87.56,195.54,55.7,,PASS,fail,PASS,PASS,PASS,PASS,PASS,PASS
AMZN,5,False,242.67,255.42,234.76,232.98,198.79,274.99,-4.7,,PASS,PASS,PASS,PASS,fail,fail,PASS,fail
NVDA,5,False,194.83,209.65,192.32,190.82,157.04,235.47,-5.2,,PASS,PASS,PASS,PASS,fail,fail,PASS,fail
AVGO,4,False,360.45,408.89,364.79,360.2,267.94,480.81,-5.3,,fail,PASS,PASS,PASS,fail,PASS,fail,fail
MSFT,0,False,390.49,407.22,422.08,443.78,352.83,538.66,-28.7,,fail,fail,fail,fail,fail,fail,fail,fail
META,0,False,582.9,604.81,629.61,645.41,525.23,787.42,-21.3,,fail,fail,fail,fail,fail,fail,fail,fail
PLTR,0,False,129.3,134.58,150.5,157.91,107.27,207.18,-37.1,,fail,fail,fail,fail,fail,fail,fail,fail
